"ID","Key","Value"
"VS03","Value Proposition","Provides advanced education, accredited qualifications, and a transformative learning experience that enables personal growth and career advancement."
"VS03","Value Stream Pattern","ATO"
"VS03.1","Level","1"
"VS03.1","Code","VS03.1"
"VS03.1.1","Level","2"
"VS03.1.1","Code","VS03.1.1"
"VS03.1.1","Sequence","1"
"VS03.1.2","Level","2"
"VS03.1.2","Code","VS03.1.2"
"VS03.1.2","Sequence","2"
"VS03.1.3","Level","2"
"VS03.1.3","Code","VS03.1.3"
"VS03.1.3","Sequence","3"
"VS03.2","Level","1"
"VS03.2","Code","VS03.2"
"VS03.2.1","Level","2"
"VS03.2.1","Code","VS03.2.1"
"VS03.2.1","Sequence","4"
"VS03.2.2","Level","2"
"VS03.2.2","Code","VS03.2.2"
"VS03.2.2","Sequence","5"
"VS03.2.3","Level","2"
"VS03.2.3","Code","VS03.2.3"
"VS03.2.3","Sequence","6"
"VS03.3","Level","1"
"VS03.3","Code","VS03.3"
"VS03.3.1","Level","2"
"VS03.3.1","Code","VS03.3.1"
"VS03.3.1","Sequence","7"
"VS03.3.2","Level","2"
"VS03.3.2","Code","VS03.3.2"
"VS03.3.2","Sequence","8"
"VS03.3.3","Level","2"
"VS03.3.3","Code","VS03.3.3"
"VS03.3.3","Sequence","9"
"VS04","Level","0"
"VS04","Code","VS04"
"VS04","Value Proposition","Delivers high-impact, rigorously executed research that advances knowledge, addresses strategic priorities, and provides a return on investment through discovery and innovation."
"VS04","Value Stream Pattern","ETO"
"VS04.1","Level","1"
"VS04.1","Code","VS04.1"
"VS04.1.1","Level","2"
"VS04.1.1","Code","VS04.1.1"
"VS04.1.1","Sequence","1"
"VS04.1.2","Level","2"
"VS04.1.2","Code","VS04.1.2"
"VS04.1.2","Sequence","2"
"VS04.1.3","Level","2"
"VS04.1.3","Code","VS04.1.3"
"VS04.1.3","Sequence","3"
"VS04.2","Level","1"
"VS04.2","Code","VS04.2"
"VS04.2.1","Level","2"
"VS04.2.1","Code","VS04.2.1"
"VS04.2.1","Sequence","4"
"VS04.2.2","Level","2"
"VS04.2.2","Code","VS04.2.2"
"VS04.2.2","Sequence","5"
"VS04.2.3","Level","2"
"VS04.2.3","Code","VS04.2.3"
"VS04.2.3","Sequence","6"
"VS04.3","Level","1"
"VS04.3","Code","VS04.3"
"VS04.3.1","Level","2"
"VS04.3.1","Code","VS04.3.1"
"VS04.3.1","Sequence","7"
"VS04.3.2","Level","2"
"VS04.3.2","Code","VS04.3.2"
"VS04.3.2","Sequence","8"
"VS04.3.3","Level","2"
"VS04.3.3","Code","VS04.3.3"
"VS04.3.3","Sequence","9"
"VS05","Level","0"
"VS05","Code","VS05"
"VS05","Value Proposition","Generates societal advancement through an educated citizenry and new knowledge. Drives economic innovation via a skilled workforce, technology transfer, and commercialization of intellectual property."
"VS05","Value Stream Pattern","ETO"
"VS05.1","Level","1"
"VS05.1","Code","VS05.1"
"VS05.1.1","Level","2"
"VS05.1.1","Code","VS05.1.1"
"VS05.1.1","Sequence","1"
"VS05.1.2","Level","2"
"VS05.1.2","Code","VS05.1.2"
"VS05.1.2","Sequence","2"
"VS05.1.3","Level","2"
"VS05.1.3","Code","VS05.1.3"
"VS05.1.3","Sequence","3"
"VS05.2","Level","1"
"VS05.2","Code","VS05.2"
"VS05.2.1","Level","2"
"VS05.2.1","Code","VS05.2.1"
"VS05.2.1","Sequence","4"
"VS05.2.2","Level","2"
"VS05.2.2","Code","VS05.2.2"
"VS05.2.2","Sequence","5"
"VS05.2.3","Level","2"
"VS05.2.3","Code","VS05.2.3"
"VS05.2.3","Sequence","6"
"VS05.3","Level","1"
"VS05.3","Code","VS05.3"
"VS05.3.1","Level","2"
"VS05.3.1","Code","VS05.3.1"
"VS05.3.1","Sequence","7"
"VS05.3.2","Level","2"
"VS05.3.2","Code","VS05.3.2"
"VS05.3.2","Sequence","8"
"VS05.3.3","Level","2"
"VS05.3.3","Code","VS05.3.3"
"VS05.3.3","Sequence","9"
"CAP01","Level","0"
"CAP01","Code","CAP01"
"CAP01.1","Level","1"
"CAP01.1","Code","CAP01.1"
"CAP01.1.1","Level","2"
"CAP01.1.1","Code","CAP01.1.1"
"CAP01.1.2","Level","2"
"CAP01.1.2","Code","CAP01.1.2"
"CAP01.1.3","Level","2"
"CAP01.1.3","Code","CAP01.1.3"
"CAP01.2","Level","1"
"CAP01.2","Code","CAP01.2"
"CAP01.2.1","Level","2"
"CAP01.2.1","Code","CAP01.2.1"
"CAP01.2.2","Level","2"
"CAP01.2.2","Code","CAP01.2.2"
"CAP01.2.3","Level","2"
"CAP01.2.3","Code","CAP01.2.3"
"CAP01.3","Level","1"
"CAP01.3","Code","CAP01.3"
"CAP01.3.1","Level","2"
"CAP01.3.1","Code","CAP01.3.1"
"CAP01.3.2","Level","2"
"CAP01.3.2","Code","CAP01.3.2"
"CAP01.3.3","Level","2"
"CAP01.3.3","Code","CAP01.3.3"
"CAP02","Level","0"
"CAP02","Code","CAP02"
"CAP02.1","Level","1"
"CAP02.1","Code","CAP02.1"
"CAP02.1.1","Level","2"
"CAP02.1.1","Code","CAP02.1.1"
"CAP02.1.2","Level","2"
"CAP02.1.2","Code","CAP02.1.2"
"CAP02.1.3","Level","2"
"CAP02.1.3","Code","CAP02.1.3"
"CAP02.2","Level","1"
"CAP02.2","Code","CAP02.2"
"CAP02.2.1","Level","2"
"CAP02.2.1","Code","CAP02.2.1"
"CAP02.2.2","Level","2"
"CAP02.2.2","Code","CAP02.2.2"
"CAP02.2.3","Level","2"
"CAP02.2.3","Code","CAP02.2.3"
"CAP02.3","Level","1"
"CAP02.3","Code","CAP02.3"
"CAP02.3.1","Level","2"
"CAP02.3.1","Code","CAP02.3.1"
"CAP02.3.2","Level","2"
"CAP02.3.2","Code","CAP02.3.2"
"CAP02.3.3","Level","2"
"CAP02.3.3","Code","CAP02.3.3"
"CAP03","Level","0"
"CAP03","Code","CAP03"
"CAP03.1","Level","1"
"CAP03.1","Code","CAP03.1"
"CAP03.1.1","Level","2"
"CAP03.1.1","Code","CAP03.1.1"
"CAP03.1.2","Level","2"
"CAP03.1.2","Code","CAP03.1.2"
"CAP03.1.3","Level","2"
"CAP03.1.3","Code","CAP03.1.3"
"CAP03.2","Level","1"
"CAP03.2","Code","CAP03.2"
"CAP03.2.1","Level","2"
"CAP03.2.1","Code","CAP03.2.1"
"CAP03.2.2","Level","2"
"CAP03.2.2","Code","CAP03.2.2"
"CAP03.2.3","Level","2"
"CAP03.2.3","Code","CAP03.2.3"
"CAP04","Level","0"
"CAP04","Code","CAP04"
"CAP04.1","Level","1"
"CAP04.1","Code","CAP04.1"
"CAP04.1.1","Level","2"
"CAP04.1.1","Code","CAP04.1.1"
"CAP04.1.2","Level","2"
"CAP04.1.2","Code","CAP04.1.2"
"CAP04.1.3","Level","2"
"CAP04.1.3","Code","CAP04.1.3"
"CAP04.2","Level","1"
"CAP04.2","Code","CAP04.2"
"CAP04.2.1","Level","2"
"CAP04.2.1","Code","CAP04.2.1"
"CAP04.2.2","Level","2"
"CAP04.2.2","Code","CAP04.2.2"
"CAP04.2.3","Level","2"
"CAP04.2.3","Code","CAP04.2.3"
"CAP04.3","Level","1"
"CAP04.3","Code","CAP04.3"
"CAP04.3.1","Level","2"
"CAP04.3.1","Code","CAP04.3.1"
"CAP04.3.2","Level","2"
"CAP04.3.2","Code","CAP04.3.2"
"CAP04.3.3","Level","2"
"CAP04.3.3","Code","CAP04.3.3"
"BO01","Level","0"
"BO01","Code","BO01"
"BO01.1","Level","1"
"BO01.1","Code","BO01.1"
"BO01.1.1","Level","2"
"BO01.1.1","Code","BO01.1.1"
"BO01.1.2","Level","2"
"BO01.1.2","Code","BO01.1.2"
"BO01.1.3","Level","2"
"BO01.1.3","Code","BO01.1.3"
"BO01.2","Level","1"
"BO01.2","Code","BO01.2"
"BO01.2.1","Level","2"
"BO01.2.1","Code","BO01.2.1"
"BO01.2.2","Level","2"
"BO01.2.2","Code","BO01.2.2"
"BO01.2.3","Level","2"
"BO01.2.3","Code","BO01.2.3"
"BO02","Level","0"
"BO02","Code","BO02"
"BO02.1","Level","1"
"BO02.1","Code","BO02.1"
"BO02.1.1","Level","2"
"BO02.1.1","Code","BO02.1.1"
"BO02.1.2","Level","2"
"BO02.1.2","Code","BO02.1.2"
"BO02.1.3","Level","2"
"BO02.1.3","Code","BO02.1.3"
"BO02.2","Level","1"
"BO02.2","Code","BO02.2"
"BO02.2.1","Level","2"
"BO02.2.1","Code","BO02.2.1"
"BO02.2.2","Level","2"
"BO02.2.2","Code","BO02.2.2"
"BO02.2.3","Level","2"
"BO02.2.3","Code","BO02.2.3"
"BO03","Level","0"
"BO03","Code","BO03"
"BO03.1","Level","1"
"BO03.1","Code","BO03.1"
"BO03.1.1","Level","2"
"BO03.1.1","Code","BO03.1.1"
"BO03.1.2","Level","2"
"BO03.1.2","Code","BO03.1.2"
"BO03.1.3","Level","2"
"BO03.1.3","Code","BO03.1.3"
"BO03.2","Level","1"
"BO03.2","Code","BO03.2"
"BO03.2.1","Level","2"
"BO03.2.1","Code","BO03.2.1"
"BO03.2.2","Level","2"
"BO03.2.2","Code","BO03.2.2"
"BO03.2.3","Level","2"
"BO03.2.3","Code","BO03.2.3"
"BO04","Level","0"
"BO04","Code","BO04"
"BO04.1","Level","1"
"BO04.1","Code","BO04.1"
"BO04.1.1","Level","2"
"BO04.1.1","Code","BO04.1.1"
"BO04.1.2","Level","2"
"BO04.1.2","Code","BO04.1.2"
"BO04.1.3","Level","2"
"BO04.1.3","Code","BO04.1.3"
"BO04.2","Level","1"
"BO04.2","Code","BO04.2"
"BO04.2.1","Level","2"
"BO04.2.1","Code","BO04.2.1"
"BO04.2.2","Level","2"
"BO04.2.2","Code","BO04.2.2"
"BO04.2.3","Level","2"
"BO04.2.3","Code","BO04.2.3"
