"ID","Key","Value"
"VS-031","Code","VS-031"
"VS-031","Sequence","8"
"VS-032","Level","2"
"VS-032","Code","VS-032"
"VS-032","Sequence","9"
"VS-033","Level","1"
"VS-033","Code","VS-033"
"VS-034","Level","1"
"VS-034","Code","VS-034"
"VS-035","Level","1"
"VS-035","Code","VS-035"
"VS-036","Level","2"
"VS-036","Code","VS-036"
"VS-036","Sequence","1"
"VS-037","Level","2"
"VS-037","Code","VS-037"
"VS-037","Sequence","2"
"VS-038","Level","2"
"VS-038","Code","VS-038"
"VS-038","Sequence","3"
"VS-039","Level","2"
"VS-039","Code","VS-039"
"VS-039","Sequence","4"
"VS-040","Level","2"
"VS-040","Code","VS-040"
"VS-040","Sequence","5"
"VS-041","Level","2"
"VS-041","Code","VS-041"
"VS-041","Sequence","6"
"VS-042","Level","2"
"VS-042","Code","VS-042"
"VS-042","Sequence","7"
"VS-043","Level","2"
"VS-043","Code","VS-043"
"VS-043","Sequence","8"
"VS-044","Level","2"
"VS-044","Code","VS-044"
"VS-044","Sequence","9"
"VS-045","Level","1"
"VS-045","Code","VS-045"
"VS-046","Level","1"
"VS-046","Code","VS-046"
"VS-047","Level","2"
"VS-047","Code","VS-047"
"VS-047","Sequence","1"
"VS-048","Level","2"
"VS-048","Code","VS-048"
"VS-048","Sequence","2"
"VS-049","Level","2"
"VS-049","Code","VS-049"
"VS-049","Sequence","3"
"VS-050","Level","2"
"VS-050","Code","VS-050"
"VS-050","Sequence","4"
"VS-051","Level","2"
"VS-051","Code","VS-051"
"VS-051","Sequence","5"
"VS-052","Level","2"
"VS-052","Code","VS-052"
"VS-052","Sequence","6"
"CAP-001","Level","0"
"CAP-001","Code","CAP-001"
"CAP-002","Level","0"
"CAP-002","Code","CAP-002"
"CAP-003","Level","0"
"CAP-003","Code","CAP-003"
"CAP-004","Level","0"
"CAP-004","Code","CAP-004"
"CAP-005","Level","0"
"CAP-005","Code","CAP-005"
"CAP-006","Level","1"
"CAP-006","Code","CAP-006"
"CAP-007","Level","1"
"CAP-007","Code","CAP-007"
"CAP-008","Level","1"
"CAP-008","Code","CAP-008"
"CAP-009","Level","1"
"CAP-009","Code","CAP-009"
"CAP-010","Level","1"
"CAP-010","Code","CAP-010"
"CAP-011","Level","1"
"CAP-011","Code","CAP-011"
"CAP-012","Level","1"
"CAP-012","Code","CAP-012"
"CAP-013","Level","1"
"CAP-013","Code","CAP-013"
"CAP-014","Level","1"
"CAP-014","Code","CAP-014"
"CAP-015","Level","1"
"CAP-015","Code","CAP-015"
"CAP-016","Level","1"
"CAP-016","Code","CAP-016"
"CAP-017","Level","1"
"CAP-017","Code","CAP-017"
"CAP-018","Level","1"
"CAP-018","Code","CAP-018"
"CAP-019","Level","1"
"CAP-019","Code","CAP-019"
"CAP-020","Level","1"
"CAP-020","Code","CAP-020"
"CAP-021","Level","1"
"CAP-021","Code","CAP-021"
"CAP-022","Level","1"
"CAP-022","Code","CAP-022"
"CAP-023","Level","1"
"CAP-023","Code","CAP-023"
"BO-001","Level","0"
"BO-001","Code","BO-001"
"BO-002","Level","0"
"BO-002","Code","BO-002"
"BO-003","Level","0"
"BO-003","Code","BO-003"
"BO-004","Level","0"
"BO-004","Code","BO-004"
"BO-005","Level","0"
"BO-005","Code","BO-005"
"BO-006","Level","1"
"BO-006","Code","BO-006"
"BO-007","Level","1"
"BO-007","Code","BO-007"
"BO-008","Level","1"
"BO-008","Code","BO-008"
"BO-009","Level","1"
"BO-009","Code","BO-009"
"BO-010","Level","1"
"BO-010","Code","BO-010"
"BO-011","Level","1"
"BO-011","Code","BO-011"
"BO-012","Level","1"
"BO-012","Code","BO-012"
"BO-013","Level","1"
"BO-013","Code","BO-013"
"BO-014","Level","1"
"BO-014","Code","BO-014"
"BO-015","Level","1"
"BO-015","Code","BO-015"
"BO-016","Level","1"
"BO-016","Code","BO-016"
"BO-017","Level","1"
"BO-017","Code","BO-017"
"BO-018","Level","1"
"BO-018","Code","BO-018"
"BO-019","Level","1"
"BO-019","Code","BO-019"
"BO-020","Level","1"
"BO-020","Code","BO-020"
"BO-021","Level","1"
"BO-021","Code","BO-021"
"BO-022","Level","1"
"BO-022","Code","BO-022"
"BO-023","Level","1"
"BO-023","Code","BO-023"
